KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
06_07_2015,19,SC,2,,Plectroglyphidodon johnstonianus,5,8,,10:30,33,2,
06_07_2015,19,SC,2,,Stegastes fasciolatus,8,21,,10:30,33,2,
06_07_2015,19,SC,2,,Gomphosus varius,10,2,IP,10:30,33,2,
06_07_2015,19,SC,2,,Gomphosus varius,16,1,IP,10:30,33,2,
06_07_2015,19,SC,2,,Gomphosus varius,3,4,juv,10:30,33,2,
06_07_2015,19,SC,2,,Gomphosus varius,5,2,juv,10:30,33,2,
06_07_2015,19,SC,2,,Halichoeres hortulanus,20,1,TP,10:30,33,2,
06_07_2015,19,SC,2,,Labroides dimidiatus,3,1,,10:30,33,2,
06_07_2015,19,SC,2,,Labroides dimidiatus,9,2,,10:30,33,2,
06_07_2015,19,SC,2,,Labroides dimidiatus,5,2,,10:30,33,2,
06_07_2015,19,SC,2,,Labroides rubrolabiatus,6,1,,10:30,33,2,
06_07_2015,19,SC,2,,Oxycheilinus unifasciatus,10,1,juv,10:30,33,2,
06_07_2015,19,SC,2,,Scarus rubroviolaceus,32,1,IP,10:30,33,2,
06_07_2015,19,SC,2,,Scarus tricolor,28,1,TP,10:30,33,2,
06_07_2015,19,SC,2,,Acanthurus lineatus,21,4,,10:30,33,2,
06_07_2015,19,SC,3,,Paracirrhites arcatus,8,1,,10:45,33,2,
06_07_2015,19,SC,3,,Paracirrhites hemistictus,17,1,,10:45,33,2,
06_07_2015,19,SC,3,,Pterocaesio tile,13,30,,10:45,33,2,
06_07_2015,19,SC,3,,Centropyge flavissima,7,1,,10:45,33,2,
06_07_2015,19,SC,3,,Chromis margaritifer,2,4,,10:45,33,2,
06_07_2015,19,SC,3,,Chromis margaritifer,3,31,,10:45,33,2,
06_07_2015,19,SC,3,,Chromis margaritifer,5,43,,10:45,33,2,
06_07_2015,19,SC,3,,Chromis vanderbilti,3,43,,10:45,33,2,
