KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
 06_07_2015,19,SD,3,,Chromis margaritifer,4,6,,10:45,37,2,
 06_07_2015,19,SD,3,,Chromis vanderbilti,4,3,,10:45,37,2,
 06_07_2015,19,SD,3,,Chromis vanderbilti,5,3,,10:45,37,2,
 06_07_2015,19,SD,3,,Plectroglyphidodon dickii,10,3,,10:45,37,2,
 06_07_2015,19,SD,3,,Plectroglyphidodon dickii,7,3,,10:45,37,2,
 06_07_2015,19,SD,3,,Plectroglyphidodon dickii,9,5,,10:45,37,2,
 06_07_2015,19,SD,3,,Plectroglyphidodon dickii,6,3,,10:45,37,2,
 06_07_2015,19,SD,3,,Plectroglyphidodon johnstonianus,6,2,,10:45,37,2,
 06_07_2015,19,SD,3,,Stegastes fasciolatus,8,2,,10:45,37,2,
 06_07_2015,19,SD,3,,Stegastes fasciolatus,9,2,,10:45,37,2,
 06_07_2015,19,SD,3,,Gomphosus varius,5,1,IP,10:45,37,2,
 06_07_2015,19,SD,3,,Gomphosus varius,4,1,IP,10:45,37,2,
 06_07_2015,19,SD,3,,Gomphosus varius,10,1,IP,10:45,37,2,
 06_07_2015,19,SD,3,,Gomphosus varius,4,1,Juv.,10:45,37,2,
 06_07_2015,19,SD,3,,Labroides dimidiatus,2,1,,10:45,37,2,
 06_07_2015,19,SD,3,,Labroides dimidiatus,9,1,,10:45,37,2,
 06_07_2015,19,SD,3,,Labroides rubrolabiatus,5,1,,10:45,37,2,
 06_07_2015,19,SD,3,,Pseudocheilinus hexataenia,4,1,,10:45,37,2,
 06_07_2015,19,SD,3,,Pseudocheilinus hexataenia,7,1,,10:45,37,2,
 06_07_2015,19,SD,3,,Scarus oviceps,22,1,TP,10:45,37,2,
 06_07_2015,3,SD,1,,Cephalopholis urodeta,13,2,,15:50,31,2,
 06_07_2015,3,SD,1,,Pseudanthias olivaceus,8,2,,15:50,31,2,
 06_07_2015,3,SD,1,,Paracirrhites arcatus,8,1,,15:50,31,2,
 06_07_2015,3,SD,1,,Paracirrhites arcatus,9,1,,15:50,31,2,
 06_07_2015,3,SD,1,,Paracirrhites hemistictus,11,1,,15:50,31,2,
